Chloraphylla ugL,DO mg,DO Sat,EC mScm,pH,Temp degC,Turbidity NTU
4.7,5.7,88.5,43.51,7.73,30.46,3.7
5.55,5.785,89.8,43.52,7.755,30.42,1.9
5.3,5.735,89,43.65,7.755,30.34,2.75
5.6,5.665,87.7,43.76,7.755,30.175,2.5
5.8,5.775,89.65,44.295,7.785,30.185,4.65
6.65,5.775,90,45.2,7.82,30.23,7.1
5.2,5.725,89.15,45.425,7.825,30.13,6
5.6,5.635,87.9,45.495,7.825,30.19,4.6
4.9,5.5,85.8,45.37,7.815,30.255,5.05
4.75,5.545,86.45,45.05,7.805,30.305,3.5
4.95,5.59,87.3,44.815,7.795,30.44,3.05
5.05,5.64,88.2,44.545,7.785,30.59,2.8
5.5,5.725,89.7,44.26,7.78,30.805,3.15
6.6,5.965,93.85,44.09,7.795,31.09,2.95
8.75,6.385,101,44.14,7.835,31.42,3.6
12.25,6.745,106.8,44.175,7.9,31.53,3.6
13.85,7.04,111.4,44.4,7.935,31.4,3.25
12.1,6.84,108.15,44.82,7.935,31.25,3.8
10.5,6.52,102.7,45.16,7.92,30.95,3.65
9.15,6.29,98.95,45.22,7.88,30.815,4.05
8.8,6.415,100.9,45.315,7.905,30.805,3.1
8.5,6.265,98.2,45.015,7.88,30.635,3.75
7.85,6.085,95.05,44.71,7.845,30.5,3.5
6.05,6.02,93.85,44.33,7.815,30.485,3.1
5.45,5.96,92.8,43.91,7.795,30.495,3.4
5.5,5.815,90.3,43.61,7.74,30.44,4.5
5.3,5.93,91.9,43.52,7.785,30.365,2.8
5.9,5.92,91.85,43.775,7.795,30.345,2.75
6.4,5.81,90.3,44.23,7.79,30.31,4.85
8,5.89,91.9,45.015,7.83,30.355,6.15
6.75,5.665,88.5,45.76,7.84,30.28,11.35
5.35,5.71,89.2,46.04,7.845,30.22,6.1
4.95,5.685,88.9,46.025,7.85,30.275,4.45
6.4,5.78,90.5,45.69,7.85,30.39,5.8
6.8,5.89,92.15,45.37,7.845,30.465,4.8
6.35,5.93,92.75,44.93,7.835,30.545,4
6.7,5.99,93.6,44.505,7.82,30.59,3.55
6.7,6.175,96.5,44.105,7.825,30.735,4.4
7.85,6.34,99.25,43.905,7.825,30.87,4.35
10.15,6.69,105,43.96,7.88,31.01,4.7
11.75,6.595,103.5,44.17,7.885,30.915,5.65
9.7,6.4,100.1,44.465,7.875,30.71,4.85
8.75,6.42,100.75,45.15,7.9,30.735,5.5
8.1,6.295,98.6,45.445,7.9,30.505,4.75
6.55,6.24,97.85,45.62,7.89,30.535,3.25
7.2,6.215,97.3,45.52,7.885,30.46,3.35
6.95,6.185,96.5,45.06,7.875,30.345,3.7
6.1,6.09,94.75,44.66,7.845,30.24,3.4
4.85,6.03,93.45,44.195,7.825,30.14,3.1
4.75,5.885,90.85,43.72,7.79,30.025,4.6
4.75,5.89,90.75,43.48,7.755,29.98,4.9
4.05,5.79,89.05,43.425,7.79,29.86,2.7
4.3,5.945,91.2,43.365,7.795,29.725,3.15
5.9,5.91,91.3,44.21,7.805,29.94,5.35
6.45,5.86,91.05,45.195,7.835,30.08,7
5.35,5.675,88.2,45.97,7.845,29.93,8.55
5.15,5.645,87.8,46.045,7.855,29.9,4.45
5,5.7,88.85,46.135,7.86,30.03,4.1
5.45,5.84,91.05,45.69,7.86,30.145,5.95
5.45,5.905,91.95,45.26,7.855,30.23,4.85
5.5,5.97,92.9,44.68,7.845,30.285,3.75
5.85,6,93.15,44.21,7.83,30.25,4.25
7.2,6.135,95.1,43.74,7.83,30.255,5.5
7.7,6.195,95.85,43.53,7.82,30.21,7
10.25,6.43,99.5,43.665,7.86,30.175,4.2
8.2,6.215,96.3,43.975,7.85,30.185,4.8
6.5,6.12,95.1,44.53,7.85,30.2,4.25
6.6,6.195,96.45,45.29,7.88,30.165,4.9
5.9,6.09,94.75,45.38,7.875,30.045,3.75
